recordType,caseId,employeeNo,prefecture,careApplicable,healthStdMonthlyYen,pensionStdMonthlyYen,healthRateTotalPct,careRateTotalPct,pensionRateTotalPct,exp_health_employeeRawYen,exp_health_employeeYen,exp_health_totalRawYen,exp_care_employeeRawYen,exp_care_employeeYen,exp_care_totalRawYen,exp_pension_employeeRawYen,exp_pension_employeeYen,exp_pension_totalRawYen,exp_health_employeeSumYen,exp_health_totalFloorYen,exp_care_employeeSumYen,exp_care_totalFloorYen,exp_pension_employeeSumYen,exp_pension_totalFloorYen
EMP,M-SUM-001,E017,石川県,1,200000,260000,9.88,1.59,18.30,9880.00,9880,19760.00,1590.00,1590,3180.00,23790.00,23790,47580.00,,,,,,
EMP,M-SUM-001,E018,福井県,0,220000,280000,9.94,1.59,18.30,10934.00,10934,21868.00,0.00,0,0.00,25620.00,25620,51240.00,,,,,,
EMP,M-SUM-001,E019,山梨県,1,240000,300000,9.89,1.59,18.30,11868.00,11868,23736.00,1908.00,1908,3816.00,27450.00,27450,54900.00,,,,,,
EMP,M-SUM-001,E020,長野県,0,260000,320000,9.69,1.59,18.30,12597.00,12597,25194.00,0.00,0,0.00,29280.00,29280,58560.00,,,,,,
EMP,M-SUM-001,E021,岐阜県,1,280000,340000,9.93,1.59,18.30,13902.00,13902,27804.00,2226.00,2226,4452.00,31110.00,31110,62220.00,,,,,,
EMP,M-SUM-001,E022,静岡県,0,300000,360000,9.80,1.59,18.30,14700.00,14700,29400.00,0.00,0,0.00,32940.00,32940,65880.00,,,,,,
EMP,M-SUM-001,E023,鳥取県,1,320000,380000,9.93,1.59,18.30,15888.00,15888,31776.00,2544.00,2544,5088.00,34770.00,34770,69540.00,,,,,,
EMP,M-SUM-001,E024,三重県,0,340000,410000,9.99,1.59,18.30,16983.00,16983,33966.00,0.00,0,0.00,37515.00,37515,75030.00,,,,,,
EMP,M-SUM-001,E025,滋賀県,1,360000,440000,9.97,1.59,18.30,17946.00,17946,35892.00,2862.00,2862,5724.00,40260.00,40260,80520.00,,,,,,
EMP,M-SUM-001,E026,京都府,0,380000,470000,10.03,1.59,18.30,19057.00,19057,38114.00,0.00,0,0.00,43005.00,43005,86010.00,,,,,,
EMP,M-SUM-001,E027,大阪府,1,410000,500000,10.24,1.59,18.30,20992.00,20992,41984.00,3259.50,3259,6519.00,45750.00,45750,91500.00,,,,,,
EMP,M-SUM-001,E028,兵庫県,0,440000,530000,10.16,1.59,18.30,22352.00,22352,44704.00,0.00,0,0.00,48495.00,48495,96990.00,,,,,,
EMP,M-SUM-001,E029,奈良県,1,470000,560000,10.02,1.59,18.30,23547.00,23547,47094.00,3736.50,3736,7473.00,51240.00,51240,102480.00,,,,,,
EMP,M-SUM-001,E030,和歌山県,0,500000,590000,10.19,1.59,18.30,25475.00,25475,50950.00,0.00,0,0.00,53985.00,53985,107970.00,,,,,,
EMP,M-SUM-001,E031,愛知県,1,530000,620000,10.03,1.59,18.30,26579.50,26579,53159.00,4213.50,4213,8427.00,56730.00,56730,113460.00,,,,,,
EMP,M-SUM-001,E032,島根県,0,560000,650000,9.94,1.59,18.30,27832.00,27832,55664.00,0.00,0,0.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E033,岡山県,1,590000,650000,10.17,1.59,18.30,30001.50,30001,60003.00,4690.50,4690,9381.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E034,広島県,0,620000,650000,9.97,1.59,18.30,30907.00,30907,61814.00,0.00,0,0.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E035,山口県,1,650000,650000,10.36,1.59,18.30,33670.00,33670,67340.00,5167.50,5167,10335.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E036,徳島県,0,680000,650000,10.47,1.59,18.30,35598.00,35598,71196.00,0.00,0,0.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E037,香川県,1,710000,650000,10.21,1.59,18.30,36245.50,36245,72491.00,5644.50,5644,11289.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E038,愛媛県,0,750000,650000,10.18,1.59,18.30,38175.00,38175,76350.00,0.00,0,0.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E039,高知県,1,790000,650000,10.13,1.59,18.30,40013.50,40013,80027.00,6280.50,6280,12561.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E040,福岡県,0,830000,650000,10.31,1.59,18.30,42786.50,42786,85573.00,0.00,0,0.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E041,佐賀県,1,880000,650000,10.78,1.59,18.30,47432.00,47432,94864.00,6996.00,6996,13992.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E042,長崎県,0,930000,650000,10.41,1.59,18.30,48406.50,48406,96813.00,0.00,0,0.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E043,熊本県,1,980000,650000,10.12,1.59,18.30,49588.00,49588,99176.00,7791.00,7791,15582.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E044,大分県,0,1030000,650000,10.25,1.59,18.30,52787.50,52787,105575.00,0.00,0,0.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E045,宮崎県,1,1090000,650000,10.09,1.59,18.30,54990.50,54990,109981.00,8665.50,8665,17331.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E046,鹿児島県,0,1150000,650000,10.31,1.59,18.30,59282.50,59282,118565.00,0.00,0,0.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E047,沖縄県,1,1210000,650000,9.44,1.59,18.30,57112.00,57112,114224.00,9619.50,9619,19239.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E048,東京都,0,1270000,650000,9.91,1.59,18.30,62953.50,62953,125907.00,0.00,0,0.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E049,大阪府,1,1330000,650000,10.24,1.59,18.30,68096.00,68096,136192.00,10573.50,10573,21147.00,59475.00,59475,118950.00,,,,,,
EMP,M-SUM-001,E050,沖縄県,1,1390000,650000,9.44,1.59,18.30,65608.00,65608,131216.00,11050.50,11050,22101.00,59475.00,59475,118950.00,,,,,,
TOTAL,M-SUM-001,ALL,,,,,,,,,,,,,,,,,1240793,2481596,106381,212773,1934310,3868620
