caseId,勤務地都道府県,介護該当(40-64),健保等級,健保標準報酬月額,厚年等級,厚年標準報酬月額,標準賞与額(健保・介護),標準賞与額(厚年),健康保険(個人・月例),健康保険(合計・月例),介護保険(個人・月例),介護保険(合計・月例),厚生年金(個人・月例),厚生年金(合計・月例),健康保険(個人・賞与),健康保険(合計・賞与),介護保険(個人・賞与),介護保険(合計・賞与),厚生年金(個人・賞与),厚生年金(合計・賞与)
R7-M36,徳島県,1,36,680000,4,110000,355000,355000,35598,71196,5406,10812,10065,20130,18584,37168,2822,5644,32482,64965
R7-M37,香川県,0,37,710000,5,118000,528000,528000,36245,72491,0,0,10797,21594,26954,53908,0,0,48312,96624
R7-M38,愛媛県,1,38,750000,6,126000,701000,701000,38175,76350,5962,11925,11529,23058,35681,71361,5573,11145,64141,128283
R7-M39,高知県,0,39,790000,7,134000,874000,874000,40013,80027,0,0,12261,24522,44268,88536,0,0,79971,159942
R7-M40,福岡県,1,40,830000,8,142000,1047000,1047000,42786,85573,6598,13197,12993,25986,53973,107945,8324,16647,95800,191601
R7-M41,佐賀県,0,41,880000,9,150000,70000,70000,47432,94864,0,0,13725,27450,3773,7546,0,0,6405,12810
R7-M42,長崎県,1,42,930000,10,160000,243000,243000,48406,96813,7393,14787,14640,29280,12648,25296,1932,3863,22234,44469
R7-M43,熊本県,0,43,980000,11,170000,416000,416000,49588,99176,0,0,15555,31110,21050,42099,0,0,38064,76128
R7-M44,大分県,1,44,1030000,12,180000,589000,589000,52787,105575,8188,16377,16470,32940,30186,60372,4683,9365,53893,107787
R7-M45,宮崎県,0,45,1090000,13,190000,762000,762000,54990,109981,0,0,17385,34770,38443,76885,0,0,69723,139446
R7-M46,鹿児島県,1,46,1150000,14,200000,935000,935000,59282,118565,9142,18285,18300,36600,48199,96398,7433,14866,85552,171105
R7-M47,沖縄県,0,47,1210000,15,220000,1108000,1108000,57112,114224,0,0,20130,40260,52298,104595,0,0,101382,202764
R7-M48,北海道,1,48,1270000,16,240000,131000,131000,65468,130937,10096,20193,21960,43920,6753,13506,1041,2082,11986,23973
R7-M49,青森県,0,49,1330000,17,260000,304000,304000,65502,131005,0,0,23790,47580,14972,29944,0,0,27816,55632
R7-M50,岩手県,1,50,1390000,18,280000,477000,477000,66859,133718,11050,22101,25620,51240,22944,45887,3792,7584,43645,87291
